#Date	#announcements	#ipSpace	ratio
2003-01-01	2	124212	1188388905	9567
2003-01-29	2	126655	1192785609	9417
2003-02-26	2	123083	1202933360	9773
2003-03-26	2	124759	1220614936	9783
2003-04-23	2	131561	1208849588	9188
2003-05-21	2	128638	1214736253	9443
2003-06-18	2	134287	1235721037	9202
2003-07-16	2	138142	1222556508	8849
2003-08-13	2	140756	1238860868	8801
2003-09-10	2	141736	1242985416	8769
2003-10-08	2	145699	1246730380	8556
2003-11-05	2	145271	1254810586	8637
2003-12-03	2	147159	1267828289	8615
2003-12-31	2	149097	2719275818	18238
2004-01-01	2	148903	1276394026	8571
2004-01-29	2	149275	1283222082	8596
2004-02-26	2	150091	1290868000	8600
2004-03-25	2	152793	2700315325	17673
2004-04-22	2	158173	1292524705	8171
2004-05-20	2	158657	2465027747	15536
2004-06-17	2	154080	2621811514	17015
2004-07-15	2	160953	2612003888	16228
2004-08-12	2	162027	1327349310	8192
2004-09-09	2	161759	1336106290	8259
2004-10-07	2	163727	1343811858	8207
2004-11-04	2	165573	1348841087	8146
2004-12-02	2	167715	2634719540	15709
2004-12-30	2	168757	1362857145	8075
2005-01-01	2	168807	1362507897	8071
2005-01-29	2	168901	1371705225	8121
2005-02-26	2	169538	1380161918	8140
2005-03-26	2	171646	1390796294	8102
2005-04-23	2	173488	1402257063	8082
2005-05-21	2	175287	1409626583	8041
2005-06-18	2	179180	1420774307	7929
2005-07-16	2	179258	1395211907	7783
2005-08-13	2	181991	1404038357	7714
2005-09-10	2	183866	1421642292	7731
2005-10-08	2	185769	1432142008	7709
2005-11-05	2	187667	1457523052	7766
2005-12-03	2	189615	1470795619	7756
2005-12-31	2	188850	1476116387	7816
2006-01-01	2	188818	1476448419	7819
2006-01-29	2	191501	1485490600	7757
2006-02-26	2	193838	1502995523	7753
2006-03-26	2	195931	1532404157	7821
2006-04-23	2	198438	1527469054	7697
2006-05-21	2	201971	2408323137	11924
2006-06-18	2	204686	2402584962	11737
2006-07-16	2	206380	2340994302	11343
2006-08-13	2	207198	2352434969	11353
2006-09-10	2	209636	1597780646	7621
2006-10-08	2	213563	1597255118	7479
2006-11-05	2	217425	1644976686	7565
2006-12-03	2	219563	1643579670	7485
2006-12-31	2	221753	1651744698	7448
2008-01-01	2	255641	1800567475	7043
2008-01-29	2	257723	1824321063	7078
2008-02-26	2	261075	1837840167	7039
2008-03-25	2	246779	1754553263	7109
2008-04-22	2	269462	1883049225	6988
2008-05-20	2	275463	1888102064	6854
2008-06-17	2	273411	1865561208	6823
2008-07-15	2	275429	1875051925	6807
2008-08-12	2	276587	1892464404	6842
2008-09-09	2	279570	1899912696	6795
2008-10-07	2	282191	1910660030	6770
2008-11-04	2	285289	1920759342	6732
2008-12-02	2	287900	1966755118	6831
2008-12-30	2	289985	1980924374	6831
2009-01-01	2	289443	1981032666	6844
2009-01-29	2	293352	1994083239	6797
2009-02-26	2	294059	2009312929	6833
2009-03-26	2	296501	2022130832	6819
2009-04-23	2	299287	2035656599	6801
